Company Ticker,Sector,Industry,MarketCap,Currency
7084.KL,Consumer Defensive,Farm Products,15440570368,MYR
8869.KL,Basic Materials,Aluminum,51909591040,MYR
8TRA.DE,Industrials,Farm & Heavy Construction Machinery,13699999744,EUR
9618.HK,Consumer Cyclical,Internet Retail,357889867776,HKD
9633.HK,Consumer Defensive,Beverages - Non-Alcoholic,576943685632,HKD
9888.HK,Communication Services,Internet Content & Information,335245377536,HKD
9961.HK,Consumer Cyclical,Travel Services,358501482496,HKD
9988.HK,Consumer Cyclical,Internet Retail,3034987364352,HKD
9999.HK,Communication Services,Electronic Gaming & Multimedia,686386970624,HKD
9CI.SI,Real Estate,Real Estate Services,13266881536,SGD
A,Healthcare,Diagnostics & Research,41019674624,USD
A17U.SI,Real Estate,REIT - Industrial,12904435712,SGD
A2A.MI,Utilities,Utilities - Diversified,8472214016,EUR
A2M.AX,Consumer Defensive,Packaged Foods,6950583808,AUD
AA,Basic Materials,Aluminum,9633462272,USD
AAF.L,Communication Services,Telecom Services,10636929024,GBp
AAL,Industrials,Airlines,8805553152,USD
AAL.L,Basic Materials,Other Industrial Metals & Mining,29802381312,GBp
AALB.AS,Industrials,Specialty Industrial Machinery,2933817344,EUR
AAMI,Financial Services,Asset Management,1655226624,USD
AAOI,Technology,Communication Equipment,2060171136,USD
AAON,Industrials,Building Products & Equipment,7818791424,USD
AAP,Consumer Cyclical,Auto Parts,2845654528,USD
AAPL,Technology,Consumer Electronics,3975577600000,USD
AARD,Healthcare,Biotechnology,225390448,USD
AAT,Real Estate,REIT - Diversified,1466262912,USD
ABAT,Industrials,Waste Management,499338336,USD
ABBV,Healthcare,Drug Manufacturers - General,374439673856,USD
ABCB,Financial Services,Banks - Regional,4958208000,USD
ABEO,Healthcare,Biotechnology,245111424,USD
ABEV3.SA,Consumer Defensive,Beverages - Brewers,201298313216,BRL
ABF.L,Consumer Defensive,Packaged Foods,15870903296,GBp
ABG,Consumer Cyclical,Auto & Truck Dealerships,4568142336,USD
ABL,Financial Services,Insurance - Life,495913024,USD
ABM,Industrials,Specialty Business Services,2645916672,USD
ABN.AS,Financial Services,Banks - Diversified,21485553664,EUR
ABNB,Consumer Cyclical,Travel Services,77631479808,USD
ABR,Real Estate,REIT - Mortgage,2078586112,USD
ABSI,Healthcare,Biotechnology,614538048,USD
ABT,Healthcare,Medical Devices,215341891584,USD
ABUS,Healthcare,Biotechnology,877979968,USD
AC.PA,Consumer Cyclical,Lodging,10443902976,EUR
ACA,Industrials,Engineering & Construction,4991802368,USD
ACAD,Healthcare,Biotechnology,3774092544,USD
ACCO,Industrials,Business Equipment & Supplies,328996896,USD
ACDC,Energy,Oil & Gas Equipment & Services,1002026368,USD
ACEL,Consumer Cyclical,Gambling,842095040,USD
ACGL,Financial Services,Insurance - Diversified,31587799040,USD
ACHC,Healthcare,Medical Care Facilities,1967905792,USD
ACHR,Industrials,Aerospace & Defense,6745405440,USD
ACI,Consumer Defensive,Grocery Stores,9662319616,USD
ACIC,Financial Services,Insurance - Property & Casualty,572504640,USD
ACIW,Technology,Software - Infrastructure,4919165952,USD
ACLS,Technology,Semiconductor Equipment & Materials,2599596288,USD
ACLX,Healthcare,Biotechnology,4776675840,USD
ACM,Industrials,Engineering & Construction,17451098112,USD
ACMR,Technology,Semiconductor Equipment & Materials,2655166464,USD
ACN,Technology,Information Technology Services,154067304448,USD
ACNB,Financial Services,Banks - Regional,472787968,USD
ACNT,Basic Materials,Chemicals,113165464,USD
ACR,Real Estate,REIT - Mortgage,159071648,USD
ACRE,Real Estate,REIT - Mortgage,241473488,USD
ACRS,Healthcare,Biotechnology,277330464,USD
ACS.MC,Industrials,Engineering & Construction,18857220096,EUR
ACT,Financial Services,Insurance - Specialty,5295451648,USD
ACTG,Industrials,Business Equipment & Supplies,314410688,USD
ACTU,Healthcare,Biotechnology,155730288,USD
ACU,Consumer Defensive,Household & Personal Products,144105632,USD
ACVA,Consumer Cyclical,Auto & Truck Dealerships,1704011264,USD
ACX.MC,Basic Materials,Steel,2779065344,EUR
AD.AS,Consumer Defensive,Grocery Stores,31841310720,EUR
ADAM,Real Estate,REIT - Mortgage,605062080,USD
ADANIENT.NS,Energy,Thermal Coal,2809245466624,INR
ADANIPORTS.NS,Industrials,Marine Shipping,3134682562560,INR
ADBE,Technology,Software - Application,141264945152,USD
ADC,Real Estate,REIT - Retail,8417891840,USD
ADCT,Healthcare,Biotechnology,470247424,USD
ADEA,Technology,Software - Application,1563970944,USD
ADI,Technology,Semiconductors,114925707264,USD
ADM,Consumer Defensive,Farm Products,28871110656,USD
ADM.L,Financial Services,Insurance - Property & Casualty,9699453952,GBp
ADMA,Healthcare,Biotechnology,3667754240,USD
ADNT,Consumer Cyclical,Auto Parts,1966151552,USD
ADP,Technology,Software - Application,104012087296,USD
ADPT,Healthcare,Biotechnology,2640429824,USD
ADSK,Technology,Software - Application,64675323904,USD
ADT,Industrials,Security & Protection Services,7208508928,USD
ADTN,Technology,Communication Equipment,834944128,USD
ADUS,Healthcare,Medical Care Facilities,2190277376,USD
ADV,Communication Services,Advertising Agencies,413952544,USD
ADVANC.BK,Communication Services,Telecom Services,901185536000,THB
ADYEN.AS,Technology,Software - Infrastructure,46142357504,EUR
AEBI,Industrials,Farm & Heavy Construction Machinery,861158272,USD
AEE,Utilities,Utilities - Regulated Electric,27457423360,USD
AEHR,Technology,Semiconductor Equipment & Materials,780171328,USD
AEIS,Industrials,Electrical Equipment & Parts,7755616768,USD
AEM,Basic Materials,Gold,81789231104,USD
AENA.MC,Industrials,Airports & Air Services,35339997184,EUR
AEO,Consumer Cyclical,Apparel Retail,2799171328,USD
AEP,Utilities,Utilities - Regulated Electric,64189050880,USD
AES,Utilities,Utilities - Diversified,9698114560,USD
AESI,Energy,Oil & Gas Equipment & Services,1565298304,USD
AEVA,Technology,Software - Infrastructure,868573056,USD
AEYE,Technology,Software - Application,189216640,USD
AF.PA,Industrials,Airlines,3150585344,EUR
AFCG,Real Estate,REIT - Mortgage,73658200,USD
AFG,Financial Services,Insurance - Property & Casualty,10872972288,USD
AFL,Financial Services,Insurance - Life,57210925056,USD
AFRI,Consumer Defensive,Farm Products,252874960,USD
AFRM,Technology,Software - Infrastructure,23791482880,USD
AFX.DE,Healthcare,Medical Instruments & Supplies,3875006720,EUR
AGCO,Industrials,Farm & Heavy Construction Machinery,7854876672,USD
AGI,Basic Materials,Gold,13187604480,USD
AGIO,Healthcare,Biotechnology,2340133376,USD
AGL,Healthcare,Medical Care Facilities,335807072,USD
AGL.AX,Utilities,Utilities - Independent Power Producers,5997393920,AUD
AGM,Financial Services,Credit Services,1670165760,USD
AGN.AS,Financial Services,Insurance - Diversified,10254178304,EUR
AGNC,Real Estate,REIT - Mortgage,10780877824,USD
AGO,Financial Services,Insurance - Specialty,3871708416,USD
AGX,Industrials,Engineering & Construction,4287250944,USD
AGYS,Technology,Software - Application,3568689664,USD
AHCO,Healthcare,Medical Devices,1229856640,USD
AHH,Real Estate,REIT - Diversified,671745472,USD
AHL,Financial Services,Insurance - Property & Casualty,3374141696,USD
AHR,Real Estate,REIT - Healthcare Facilities,7712315392,USD
AHT.L,Industrials,Rental & Leasing Services,20945829888,GBp
AI,Technology,Software - Infrastructure,2362743808,USD
AIA.AX,Industrials,Airports & Air Services,12053182464,AUD
AIA.NZ,Industrials,Airports & Air Services,13864758272,NZD
AIG,Financial Services,Insurance - Diversified,43744141312,USD
AII,Financial Services,Insurance - Property & Casualty,459941152,USD
AIN,Consumer Cyclical,Textile Manufacturing,1663766400,USD
AIOT,Technology,Software - Infrastructure,677891904,USD
AIP,Technology,Semiconductors,558287424,USD
AIR,Industrials,Aerospace & Defense,3391692544,USD
AIR.NZ,Industrials,Airlines,1968119168,NZD
AIRJ,Industrials,Building Products & Equipment,314890272,USD
AIRO,Industrials,Aerospace & Defense,446415456,USD
AIRS,Healthcare,Medical Care Facilities,648717056,USD
AISP,Technology,Software - Infrastructure,151739504,USD
AIT,Industrials,Industrial Distribution,9555079168,USD
AIV,Real Estate,REIT - Residential,750085568,USD
AIXA.DE,Technology,Semiconductor Equipment & Materials,1752128256,EUR
AIZ,Financial Services,Insurance - Property & Casualty,10702903296,USD
AJBU.SI,Real Estate,REIT - Office,5825850368,SGD
AJG,Financial Services,Insurance Brokers,62398476288,USD
AKAM,Technology,Software - Infrastructure,10686523392,USD
AKBA,Healthcare,Drug Manufacturers - Specialty & Generic,562107456,USD
AKE.PA,Basic Materials,Specialty Chemicals,3813614080,EUR
AKR,Real Estate,REIT - Retail,2764364032,USD
AKRO,Healthcare,Biotechnology,4336115200,USD
AKZA.AS,Basic Materials,Specialty Chemicals,9662157824,EUR
AL,Industrials,Rental & Leasing Services,7137314816,USD
ALAB,Technology,Semiconductors,31840937984,USD
ALB,Basic Materials,Specialty Chemicals,11359932416,USD
ALCO,Consumer Defensive,Farm Products,255890208,USD
ALD.AX,Energy,Oil & Gas Refining & Marketing,7180041728,AUD
ALDX,Healthcare,Biotechnology,314038112,USD
ALE,Utilities,Utilities - Diversified,3912346112,USD
ALEC,Healthcare,Biotechnology,145745760,USD
ALEX,Real Estate,REIT - Retail,1135032064,USD
ALFEN.AS,Industrials,Electrical Equipment & Parts,209167600,EUR
ALG,Industrials,Farm & Heavy Construction Machinery,2149080832,USD
ALGM,Technology,Semiconductors,5357345280,USD
ALGN,Healthcare,Medical Instruments & Supplies,10041536512,USD
ALGT,Industrials,Airlines,1136426752,USD
ALHC,Healthcare,Healthcare Plans,3369544960,USD
