,EUR,EUR,EUR,AUD,USD,EUR,TRY,INR,EUR,EUR,USD,CNY,EUR,USD,USD,USD,USD,EGP,EUR,GBP,GBP,USD,MYR,EUR,GBP,USD,HKD,EUR,IDR,CLP,EUR,BRL,MXN,KRW,EUR,,USD,USD,INR,INR,USD,USD,USD,JPY,DKK,EUR,SEK,USD,EUR,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,AUD,AUD,NZD,CAD,EUR,THB,CNY,CNY,EUR,CNY,SGD,CHF,TWD,SAR,EUR,USD
,AEX (Netherlands),AMX (Netherlands),ATX (Austria),All Ordinaries (Australia),Amex Oil Index (Energy),BEL 20 (Belgium),BIST 100 (Turkey),BSE SENSEX (India),CAC 40 (France),CAC Next 20 (France),CBOE Volatility Index (VIX),CSI 300 Index (China),DAX (Germany),Dow Jones Global Titans 50,Dow Jones Industrial Average,Dow Jones Transportation Average,Dow Jones Utility Average,EGX 30 Index (Egypt),EURO STOXX 50,FTSE 100 Index (UK),FTSE All-Share Index (UK),FTSE All-World,FTSE Bursa Malaysia KLCI,FTSE MIB (Italy),FTSE MID 250 Index (UK),HUI Gold Index (Metals),Hang Seng Index (Hong Kong),IBEX 35 (Spain),IDX Composite (Indonesia),IPSA (Chile),ISEQ 20 (Ireland),Indice Bovespa (Brazil),Indice de Precios y Cotizaciones (IPC) Mexico,KOSPI (South Korea),MDAX (Germany),MERVAL (Argentina),MSCI EAFE,MSCI World,NIFTY 50 (India),NIFTY Next 50 (India),NYSE Arca Major Market Index,Nasdaq Composite,Nasdaq-100,Nikkei 255 (Japan),OMX Copenhagen 25 (Denmark),OMX Helsinki 25 (Finland),OMX Stockholm 30 (Sweden),PHLX Semiconductor Sector (Electronics),PSI-20 (Portugal),Palisades Water Index (ZWI),Philadelphia Gold and Silver Index (Metals),Russell 1000,Russell 2000,Russell 3000,Russell MidCap,S&P 100,S&P 500,S&P Asia 50,S&P Europe 350,S&P Global 100,S&P Global 1200,S&P Latin America 40,S&P MidCap 400,S&P/ASX 200 (Australia),S&P/ASX 300 (Australia),S&P/NZX 50 (New Zealand),S&P/TSX Composite Index (Canada),SBF 120 (France),SET Index (Thailand),SSE 50 Index (China),SSE Composite Index (China),STOXX Europe 600,SZSE Component Index (China),Straits Times Index (STI) Singapore,Swiss Market Index (SMI),TAIEX (Taiwan),Tadawul All-Share Index (Saudi Arabia),TecDAX (Germany),The Global Dow
2024-02-06,831.0900268554688,888.52001953125,3425.429931640625,7808.89990234375,1877.3900146484375,3620.510009765625,8869.052734375,72186.09375,7638.97021484375,11034.5,13.0600004196167,3311.68994140625,17033.240234375,,38521.359375,16009.2900390625,837.9000244140625,,4690.8701171875,7681.0,4190.18017578125,101.31101989746094,1512.97998046875,31117.0,19171.30078125,216.42999267578125,16136.8701171875,10003.0,7247.408203125,,9060.9697265625,130416.0,58645.421875,2576.199951171875,25820.640625,1215654.0,71.68477630615234,133.32022094726562,21929.400390625,56465.44921875,3459.449951171875,15609.0,17572.73046875,36160.66015625,1869.4200439453125,4458.27001953125,2357.52001953125,4338.27001953125,6236.6201171875,59.797203063964844,112.9000015258789,2713.6201171875,1953.6300048828125,2833.5,75.80913543701172,2351.9599609375,4954.22998046875,54.644901275634766,50.11709213256836,,,26.131954193115234,2749.419921875,7581.60009765625,7521.7001953125,,20957.69921875,,1396.9599609375,,2789.486083984375,486.760009765625,8460.3798828125,3125.679931640625,11245.0302734375,,12071.41015625,3392.949951171875,
2024-02-07,830.1300048828125,879.1400146484375,3378.97998046875,7860.89990234375,1880.56005859375,3625.949951171875,8842.953125,72152.0,7611.259765625,10950.2900390625,12.829999923706055,3343.6298828125,16921.9609375,,38677.359375,16076.1201171875,837.469970703125,,4678.85009765625,7628.7998046875,4163.669921875,101.82460021972656,1513.1099853515625,30976.0,19104.5,214.55999755859375,16081.8896484375,9920.2001953125,7235.15185546875,,9144.6396484375,129608.0,58711.87109375,2609.580078125,25711.390625,1152888.0,71.64664459228516,134.08277893066406,21930.5,57386.6015625,3484.5400390625,15756.6396484375,17755.0703125,36119.921875,1886.93994140625,4443.02001953125,2356.429931640625,4408.72998046875,6182.2900390625,60.55048370361328,111.69999694824219,2736.050048828125,1950.3599853515625,2855.489990234375,76.27853393554688,2373.830078125,4995.06005859375,54.6545295715332,49.98347091674805,,,26.058805465698242,2762.35009765625,7624.89990234375,7567.89990234375,11925.1298828125,20969.19921875,,1400.02001953125,,2829.696044921875,485.6300048828125,8708.240234375,3156.14990234375,11210.25,,12165.9296875,3376.760009765625,
2024-02-08,843.75,888.760009765625,3369.02001953125,7875.2001953125,1894.06005859375,3665.64990234375,8949.751953125,71428.4296875,7665.6298828125,11030.6396484375,12.789999961853027,3364.929931640625,16963.830078125,,38726.328125,16142.830078125,831.4600219726562,,4710.77978515625,7595.5,4148.27978515625,101.86336517333984,1512.3599853515625,31064.0,19102.69921875,212.91000366210938,15878.0703125,9905.400390625,,,9290.349609375,128217.0,57762.44140625,2620.320068359375,25785.98046875,1115907.0,71.52274322509766,134.16098022460938,21717.94921875,57660.69921875,3499.080078125,15793.7099609375,17783.169921875,36863.28125,1869.47998046875,4416.7001953125,2358.489990234375,4478.009765625,6112.7900390625,61.313690185546875,110.51000213623047,2740.06005859375,1979.699951171875,2861.6298828125,76.69905090332031,2372.800048828125,4997.91015625,54.46195602416992,49.97392654418945,,,25.583345413208008,2787.39990234375,7639.2001953125,7582.10009765625,11808.5,20919.599609375,,1388.5999755859375,,2865.903076171875,485.2699890136719,8820.599609375,3142.909912109375,11138.849609375,,12202.7802734375,3403.340087890625,
2024-02-09,851.77001953125,885.7100219726562,3358.949951171875,7884.7001953125,1875.25,3676.590087890625,9045.9521484375,71595.4921875,7647.52001953125,11036.169921875,12.930000305175781,,16926.5,,38671.69140625,16215.5,834.4299926757812,,4715.8701171875,7572.60009765625,4136.740234375,102.42538452148438,1512.280029296875,31156.0,19062.30078125,211.0,15746.580078125,9896.599609375,,,9251.0,128026.0,57327.5,,25728.83984375,1128511.0,71.77056121826172,134.81600952148438,21782.5,57432.8984375,3497.60009765625,15990.66015625,17962.41015625,36897.421875,1887.199951171875,4388.75,2352.419921875,4567.2998046875,6126.39990234375,61.65068435668945,109.31999969482422,2756.320068359375,2009.989990234375,2879.969970703125,77.00220489501953,2388.820068359375,5026.60986328125,54.914520263671875,50.11709213256836,,,25.656496047973633,2808.469970703125,7644.7998046875,7587.7998046875,11862.9501953125,21009.599609375,,1388.3699951171875,,,484.8299865722656,,3138.300048828125,11091.580078125,,,3414.739990234375,
2024-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12209.0595703125,,
2024-02-12,854.8800048828125,897.2999877929688,3387.219970703125,7860.2998046875,1899.0899658203125,3715.85009765625,9174.55078125,71072.4921875,7689.7998046875,11109.08984375,13.930000305175781,,17037.349609375,,38797.37890625,16210.4599609375,844.719970703125,,4746.35009765625,7573.7001953125,4141.81005859375,102.56104278564453,,31457.0,19203.900390625,213.75999450683594,,9984.7001953125,7297.6689453125,,9311.830078125,,57418.55078125,,26095.33984375,,71.89447021484375,134.91375732421875,21616.05078125,56323.69921875,3501.510009765625,15942.5498046875,17882.66015625,,1886.68994140625,4394.3701171875,2367.5,4560.0400390625,6194.2099609375,61.948036193847656,110.55000305175781,2754.9599609375,2045.260009765625,2881.199951171875,77.37383270263672,2383.739990234375,5021.83984375,55.559669494628906,50.09800338745117,,,25.830219268798828,2834.340087890625,7614.89990234375,7559.7001953125,11727.4697265625,21067.30078125,,1389.300048828125,,,487.4599914550781,,,11179.2998046875,,12295.91015625,3429.2900390625,
2024-02-13,842.6199951171875,880.3400268554688,3368.35009765625,7847.7998046875,1884.5999755859375,3675.52001953125,8993.9521484375,71555.1875,7625.31005859375,10955.3095703125,15.850000381469727,,16880.830078125,,38272.75,15785.76953125,829.3800048828125,,4689.27978515625,7512.2998046875,4104.81005859375,100.94277954101562,1531.3699951171875,31134.0,18923.80078125,199.9199981689453,,9925.400390625,7209.7412109375,,9284.7001953125,,56906.98828125,2649.639892578125,25724.509765625,,70.7888412475586,132.8900604248047,21743.25,56893.05078125,3467.3798828125,15655.599609375,17600.419921875,37963.96875,1870.4200439453125,4349.18994140625,2352.77001953125,4468.18017578125,6134.1201171875,60.917213439941406,103.69999694824219,2715.280029296875,1964.1700439453125,2835.919921875,75.88737487792969,2353.070068359375,4953.169921875,54.25011444091797,49.210384368896484,,,25.281612396240234,2765.080078125,7603.60009765625,7549.39990234375,11657.4697265625,20585.0,,1391.72998046875,,,482.8299865722656,,3141.8701171875,11142.7900390625,,12404.58984375,3369.56005859375,
2024-02-14,843.6699829101562,890.7899780273438,3366.27001953125,7790.5,1889.010009765625,3665.300048828125,9072.0517578125,71822.828125,7677.35009765625,10968.4404296875,14.380000114440918,,16945.48046875,,38424.26953125,15824.2802734375,833.4000244140625,,4709.22021484375,7568.39990234375,4132.8701171875,102.06684112548828,1529.3299560546875,31329.0,19003.900390625,200.7899932861328,15879.3798828125,9916.599609375,,,9371.599609375,127018.0,57248.46875,2620.419921875,26050.0703125,1105580.0,71.57992553710938,134.30763244628906,21840.05078125,57672.3984375,3481.949951171875,15859.150390625,17807.630859375,37703.3203125,1883.77001953125,4349.06005859375,2362.070068359375,4565.41015625,6100.10009765625,61.75971984863281,104.2699966430664,2743.719970703125,2012.0999755859375,2867.6298828125,76.96308898925781,2373.580078125,5000.6201171875,55.241905212402344,49.87847900390625,,,25.583345413208008,2804.919921875,7547.7001953125,7493.5,11654.2197265625,20889.400390625,,1385.1099853515625,,,485.239990234375,,3139.070068359375,11213.6396484375,,12438.76953125,3386.909912109375,
2024-02-15,847.5900268554688,899.9299926757812,3372.090087890625,7851.7001953125,1934.22998046875,3694.3798828125,9242.1513671875,72050.3828125,7743.419921875,11033.349609375,14.010000228881836,,17046.689453125,,38773.12109375,15906.5302734375,847.030029296875,,4743.169921875,7597.5,4149.97998046875,102.93896484375,1528.3800048828125,31694.0,19099.599609375,207.6699981689453,15944.6298828125,9927.2998046875,7303.28076171875,,9313.83984375,127804.0,57251.890625,2613.800048828125,26057.189453125,1093752.0,72.39009094238281,135.4514617919922,21910.75,58185.8984375,3519.179931640625,15906.169921875,17845.720703125,38157.94140625,1901.77001953125,4381.6201171875,2385.239990234375,4558.10009765625,6127.10009765625,62.59230041503906,107.48999786376953,2760.85009765625,2061.47998046875,2888.22998046875,77.92147064208984,2381.800048828125,5029.72998046875,55.25153350830078,50.43204879760742,,,25.80278778076172,2854.81005859375,7605.7001953125,7551.2998046875,11655.2900390625,21222.69921875,,1387.27001953125,,,488.5400085449219,,3176.68994140625,11284.1796875,18644.5703125,12484.58984375,3386.6201171875,
2024-02-16,858.1099853515625,899.8800048828125,3406.719970703125,7905.60009765625,1928.6800537109375,3690.070068359375,9250.3515625,72426.640625,7768.18017578125,11131.349609375,14.239999771118164,,17117.439453125,,38627.98828125,15629.1904296875,844.4000244140625,,4765.64990234375,7711.7001953125,4205.25,102.69670867919922,1533.550048828125,31732.0,19191.900390625,207.9600067138672,16339.9599609375,9886.400390625,7335.544921875,,9329.33984375,128726.0,57132.109375,2648.760009765625,26148.080078125,1065369.0,72.50447082519531,134.952880859375,22040.69921875,58586.1484375,3512.1298828125,15775.650390625,17685.98046875,38487.23828125,1905.239990234375,4467.27978515625,2408.919921875,4527.68017578125,6199.81005859375,62.225563049316406,107.86000061035156,2747.340087890625,2045.1400146484375,2882.639892578125,77.52051544189453,2369.760009765625,5005.56982421875,55.21302032470703,50.53704071044922,,,25.939943313598633,2828.300048828125,7658.2998046875,7603.7998046875,11724.48046875,21255.599609375,,1386.27001953125,,,491.5899963378906,,3221.93994140625,11310.6103515625,18607.25,,3408.929931640625,
