Date,000001.SS,000300.SS,399001.SZ,EFA,URTH,XU100.IS,^AEX,^AORD,^ATX,^AXJO,^BFX,^BSESN,^BVSP,^CASE30,^DJGT,^DJI,^FCHI,^FTMC,^FTSE,^GDAXI,^GDOW,^GSPC,^GSPTSE,^HSI,^IBEX,^IPSA,^ISEQ,^IXIC,^JKSE,^KLSE,^KS11,^MERV,^MXX,^N225,^NSEI,^NZ50,^OMX,^OMXC25,^OMXH25,^RUT,^SET.BK,^SPG100,^SPG1200,^SPLAC,^SSMI,^STI,^STOXX,^STOXX50E,^TASI.SR,^TWII,^VIX
2023-10-05,,,,63.79327392578125,115.2731704711914,8487.955078125,721.75,7117.5,3091.419921875,6925.5,3467.929931640625,65631.5703125,113284.0,,,33119.5703125,6998.25,17600.0,7451.5,15070.2197265625,,4258.18994140625,19137.80078125,17213.869140625,9157.7001953125,,8262.400390625,13219.830078125,6874.826171875,1415.5999755859375,2403.60009765625,613072.0,49454.58984375,31075.359375,19545.75,11309.099609375,2127.06005859375,1663.6700439453125,4135.0,1731.510009765625,1452.550048828125,,,,10783.150390625,3155.10009765625,441.30999755859375,4099.81005859375,10764.849609375,16453.51953125,18.489999771118164
2023-10-06,,,,64.499267578125,116.60160827636719,8464.85546875,726.7000122070312,7143.0,3119.97998046875,6954.2001953125,3490.43994140625,65995.6328125,114170.0,,,33407.578125,7060.14990234375,17732.30078125,7494.60009765625,15229.76953125,,4308.5,19246.099609375,17485.98046875,9235.7998046875,,8293.4599609375,13431.33984375,6888.51806640625,1416.8800048828125,2408.72998046875,628918.0,49666.5,30994.669921875,19653.5,11287.0302734375,2154.02001953125,1676.8499755859375,4189.60986328125,1745.56005859375,1438.449951171875,,,,10837.58984375,3174.389892578125,444.92999267578125,4144.43017578125,,16520.5703125,17.450000762939453
2023-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10596.01953125,,
2023-10-09,3096.922119140625,3684.72998046875,10106.9599609375,64.40513610839844,117.12522888183594,8193.3564453125,726.0,7157.0,3091.320068359375,6970.2001953125,3480.050048828125,65512.390625,115156.0,,,33604.6484375,7021.39990234375,17572.099609375,7492.2001953125,15128.1103515625,,4335.66015625,,17517.400390625,9151.2998046875,,8167.16015625,13484.240234375,6891.455078125,1417.260009765625,,648631.0,49297.1484375,,19512.349609375,11205.0595703125,2133.260009765625,1668.8599853515625,4179.27001953125,1755.989990234375,1431.719970703125,,,,10822.240234375,3166.510009765625,443.7900085449219,4112.56982421875,10575.33984375,,17.700000762939453
2023-10-10,3075.239990234375,3657.1298828125,10050.0400390625,65.28999328613281,118.08518981933594,8442.7548828125,738.8900146484375,7231.0,3150.31005859375,7040.60009765625,3540.93994140625,66079.359375,116737.0,,,33739.30078125,7162.43017578125,17967.69921875,7628.2001953125,15423.51953125,,4358.240234375,19501.19921875,17664.73046875,9352.099609375,,8454.4296875,13562.83984375,6922.18798828125,1435.1700439453125,2402.580078125,697834.0,50289.859375,31746.529296875,19689.849609375,11293.3798828125,2193.06005859375,1702.68994140625,4274.47021484375,1775.949951171875,1434.449951171875,,,,11001.6904296875,3199.070068359375,452.4800109863281,4205.22998046875,10640.0595703125,,17.030000686645508
2023-10-11,3078.9560546875,3667.550048828125,10084.8896484375,65.5629653930664,118.60880279541016,8330.5556640625,737.780029296875,7281.2998046875,3169.3798828125,7088.39990234375,3548.889892578125,66473.046875,117051.0,,,33804.87109375,7131.2099609375,17876.19921875,7620.0,15460.009765625,,4376.9501953125,19663.80078125,17893.099609375,9360.400390625,,8422.73046875,13659.6796875,6931.7529296875,1436.489990234375,2450.080078125,716544.0,50344.73828125,31936.509765625,19811.349609375,11306.4404296875,2193.7099609375,1708.699951171875,4287.1201171875,1773.300048828125,1455.989990234375,,,,11038.2998046875,3192.8701171875,453.1600036621094,4200.7998046875,10572.7001953125,16672.029296875,16.09000015258789
2023-10-12,3107.90087890625,3702.3798828125,10168.490234375,65.01699829101562,117.69732666015625,8259.255859375,741.52001953125,7287.39990234375,3166.27001953125,7091.0,3540.389892578125,66408.390625,,,,33631.140625,7104.52978515625,17835.69921875,7644.7998046875,15425.0302734375,,4349.60986328125,19500.19921875,18238.2109375,9336.0,,8369.0498046875,13574.2197265625,6935.15087890625,1443.8199462890625,2479.820068359375,760674.0,49745.16015625,32494.66015625,19794.0,11292.580078125,2212.1298828125,1711.510009765625,4282.77001953125,1734.25,1450.75,,,,10979.76953125,3218.68994140625,453.6300048828125,4198.22998046875,10586.2197265625,16825.91015625,16.690000534057617
2023-10-13,3088.10009765625,3663.409912109375,10068.2802734375,64.41455841064453,117.01856994628906,8113.2568359375,733.9000244140625,7243.5,3147.419921875,7051.0,3507.360107421875,66282.7421875,115754.0,,,33670.2890625,7003.52978515625,17454.19921875,7599.60009765625,15186.66015625,,4327.77978515625,19462.900390625,17813.44921875,9232.900390625,,8207.73046875,13407.23046875,6926.77978515625,1444.1400146484375,2456.14990234375,,49379.578125,32315.990234375,19751.05078125,11265.7197265625,2189.840087890625,1699.1099853515625,4247.14013671875,1719.7099609375,,,,,10900.2998046875,3185.7900390625,449.17999267578125,4136.1201171875,,16782.5703125,19.31999969482422
2023-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10542.8603515625,,
2023-10-16,3073.81298828125,3626.60009765625,9924.919921875,64.88521575927734,118.15306854248047,7934.55810546875,735.3900146484375,7214.60009765625,3158.469970703125,7026.5,3518.39990234375,66166.9296875,116534.0,,,33984.5390625,7022.18994140625,17519.400390625,7630.60009765625,15237.990234375,,4373.6298828125,19620.80078125,17640.359375,9287.099609375,,8270.7802734375,13567.98046875,6896.2919921875,1438.9599609375,2436.239990234375,,49823.078125,31659.029296875,19731.75,11185.080078125,2190.780029296875,1682.0899658203125,4252.10009765625,1747.06005859375,1427.1099853515625,,,,10889.0302734375,3163.889892578125,450.20001220703125,4149.85986328125,10622.1201171875,16652.240234375,17.209999084472656
2023-10-17,3083.5,3639.39990234375,9940.2197265625,64.9228744506836,118.14337158203125,8114.95703125,736.77001953125,7244.39990234375,3147.330078125,7056.10009765625,3517.949951171875,66428.09375,115908.0,,,33997.6484375,7029.7001953125,17689.5,7675.2001953125,15251.6904296875,,4373.2001953125,19692.80078125,17773.33984375,9298.5,,8201.41015625,13533.75,6939.615234375,1444.1300048828125,2460.169921875,823683.0,49666.01171875,32040.2890625,19811.5,11214.3701171875,2172.25,1677.550048828125,4208.8798828125,1766.050048828125,1433.4000244140625,,,,10814.01953125,3171.830078125,449.760009765625,4152.31982421875,10731.400390625,16642.55078125,17.8799991607666
2023-10-18,3058.7099609375,3610.580078125,9816.6796875,63.79327392578125,116.41737365722656,7842.65869140625,729.5700073242188,7265.7001953125,3105.760009765625,7077.60009765625,3462.929931640625,65877.0234375,114060.0,,,33665.078125,6965.990234375,17403.5,7588.0,15094.91015625,,4314.60009765625,19450.69921875,17732.51953125,9212.7001953125,,8113.7998046875,13314.2998046875,6927.90576171875,1446.5400390625,2462.60009765625,798907.0,49274.78125,32042.25,19671.099609375,11221.48046875,2144.43994140625,1645.8299560546875,4147.14990234375,1728.81005859375,1437.8499755859375,,,,10675.4404296875,3136.6201171875,445.0199890136719,4105.85986328125,10714.0595703125,16440.91015625,19.219999313354492
2023-10-19,3005.39306640625,3533.5400390625,9655.08984375,63.228485107421875,115.37014770507812,7768.958984375,727.6099853515625,7172.7001953125,3082.35009765625,6981.60009765625,3398.580078125,65629.2421875,114004.0,,,33414.171875,6921.3701171875,17213.099609375,7499.5,15045.23046875,,4278.0,19348.80078125,17295.890625,9146.7998046875,,7982.81005859375,13186.1796875,6846.4267578125,1442.6600341796875,2415.800048828125,764079.0,48804.609375,31430.619140625,19624.69921875,11135.580078125,2121.830078125,1612.77001953125,4082.530029296875,1702.699951171875,1423.0400390625,,,,10448.23046875,3099.60009765625,439.7300109863281,4090.330078125,10654.5595703125,16452.73046875,21.399999618530273
2023-10-20,2983.06005859375,3510.590087890625,9570.3603515625,62.663692474365234,114.08049774169922,7510.66015625,716.239990234375,7089.7001953125,3034.47998046875,6900.7001953125,3352.929931640625,65397.62109375,113155.0,,,33127.28125,6816.22021484375,17032.69921875,7402.10009765625,14798.4697265625,,4224.16015625,19115.599609375,17172.130859375,9029.099609375,,7776.6201171875,12983.8095703125,6849.16796875,1441.0400390625,2375.0,800805.0,48275.91015625,31259.359375,19542.650390625,10994.080078125,2077.659912109375,1611.9599609375,4015.030029296875,1680.7900390625,1399.3499755859375,,,,10348.599609375,3076.68994140625,433.7300109863281,4024.679931640625,,16440.720703125,21.709999084472656
2023-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496.16015625,,
2023-10-23,2939.291015625,3474.239990234375,9425.98046875,62.71077346801758,113.93504333496094,7750.35888671875,719.1799926757812,7030.0,3024.89990234375,6844.10009765625,3325.14990234375,64571.87890625,112785.0,,,32936.41015625,6850.47021484375,17059.0,7374.7998046875,14800.7197265625,,4217.0400390625,19046.69921875,,8995.5,,7896.2001953125,13018.330078125,6741.9638671875,1438.1199951171875,2357.02001953125,701205.0,48197.87890625,30999.55078125,19281.75,,2066.5,1605.5999755859375,3982.330078125,1665.8800048828125,,,,,10331.919921875,3053.360107421875,433.17999267578125,4041.75,10293.1904296875,16251.3603515625,20.3700008392334
2023-10-24,2962.243896484375,3487.1298828125,9483.900390625,63.068477630615234,114.71078491210938,7990.357421875,721.72998046875,7045.60009765625,3031.139892578125,6856.89990234375,3340.469970703125,,113762.0,,,33141.37890625,6893.64990234375,16994.099609375,7389.7001953125,14879.9404296875,,4247.68017578125,18986.5,16991.529296875,8975.7998046875,,7887.259765625,13139.8701171875,6806.76220703125,1435.6500244140625,2383.510009765625,654137.0,48278.80078125,31062.349609375,,10960.6201171875,2074.18994140625,1611.2900390625,4033.6201171875,1679.5,1391.030029296875,,,,10376.8095703125,3083.8798828125,435.0899963378906,4065.3701171875,10379.7099609375,16309.759765625,18.969999313354492
